id;﻿syn size;win size;ttl;os;major version;minor version;flows;percent in group;million flows
70;60;29200;64;Linux;N/A;N/A;17103451;32.57308926246133;33363.50150794447
70;60;29200;64;Ubuntu;N/A;N/A;10726253;20.427877182256587;20923.576074798817
70;60;29200;64;Linux;4;8;4540736;8.64771671198237;8857.56052291305
70;60;29200;64;Windows;6;1;4266215;8.124898420082092;8322.055624079334
70;60;29200;64;Linux;4;10;4058069;7.728489634649007;7916.027660198091
70;60;29200;64;Debian;N/A;N/A;2033330;3.872425488285405;3966.3930116295664
70;60;29200;64;Android;4;4;2000841;3.81055101061139;3903.0170999207767
70;60;29200;64;Fedora;N/A;N/A;1638789;3.121032146047002;3196.766504765781
70;60;29200;64;Windows;10;0;1591202;3.030403909749383;3103.9391013219642
70;60;29200;64;Mac OS X;N/A;N/A;1358868;2.587929690908712;2650.7278891901688
70;60;29200;64;Android;4;2;678112;1.2914471299357175;1322.7851346816055
71;60;42340;64;Android;7;0;145295;69.50716622974033;283.4252544469997
71;60;42340;64;Android;6;0;42547;20.35391033123481;82.99593448471383
71;60;42340;64;Android;5;1;9502;4.5456285041810975;18.535440089166116
71;60;42340;64;Android;N/A;N/A;2958;1.4150672611416215;5.770135948616436
72;60;42470;64;Android;5;0;311;100.0;0.6066640568017957
73;60;43230;64;Android;7;0;7985;94.62021566536319;15.57624596000752
73;60;43230;64;Android;N/A;N/A;396;4.6924991112691075;0.7724725610723829
74;60;43520;64;Android;7;0;27495;95.86820083682008;53.63417441082113
75;60;43560;64;Android;7;0;2429;96.54213036565977;4.738221845567722
76;60;45260;64;Windows;98;N/A;69;100.0;0.1345974917020061
77;60;46720;64;Android;6;0;41;71.9298245614035;0.07997821970698914
77;60;46720;64;Android;5;0;16;28.07017543859649;0.031211012568581126
78;60;61200;64;Android;6;10;108;69.6774193548387;0.2106743348379226
78;60;61200;64;Android;39;3;22;14.193548387096774;0.04291514228179905
78;60;61200;64;Android;4;N/A;9;5.806451612903226;0.017556194569826884
78;60;61200;64;Android;40;3;8;5.161290322580645;0.015605506284290563
78;60;61200;64;Android;5;1;7;4.516129032258064;0.013654817998754244
79;60;64240;64;Android;2;3;23113;28.6882804160564;45.086258343600974
79;60;64240;64;Android;6;0;22351;27.742472010525532;43.5998338700223
79;60;64240;64;Android;5;1;11821;14.672442469528088;23.059086223324844
79;60;64240;64;Linux;N/A;N/A;9232;11.458928083807066;18.00875425207131
79;60;64240;64;Android;7;1;6808;8.450214730779733;13.280285847931271
79;60;64240;64;Android;7;0;3620;4.49321053546161;7.06149159364148
80;60;64240;128;Windows;10;0;4230;95.07754551584627;8.251411447818635
81;60;65500;64;Linux;N/A;N/A;269;71.92513368983957;0.5247351488092703
81;60;65500;64;Android;7;0;99;26.47058823529412;0.19311814026809573
82;60;65535;64;Android;6;0;18365282;48.21798110041694;35824.940457971046
82;60;65535;64;Android;5;1;7880436;20.690056058548148;15372.2741901187
82;60;65535;64;Android;5;0;4379884;11.499369513303337;8543.788410807962
82;60;65535;64;Android;7;0;3055231;8.021497879281569;5959.803321307418
82;60;65535;64;Android;4;4;945056;2.4812410910344656;1843.509668375813
82;60;65535;64;Android;7;1;668705;1.7556825455636516;1304.4350099795652
82;60;65535;64;Linux;N/A;N/A;580415;1.5238774716554038;1132.2087412495634
82;60;65535;64;Android;N/A;N/A;568482;1.49254742355316;1108.9311779382585
83;60;65535;128;Android;6;0;30831;58.54506095476815;60.141670531370295
83;60;65535;128;Android;5;1;13733;26.077627131517982;26.788802225270288
83;60;65535;128;Windows;6;3;1314;2.4951577987922984;2.5632044071947253
83;60;65535;128;Android;7;0;1277;2.42489840871976;2.491028940629881
83;60;65535;128;Windows;N/A;N/A;1003;1.9045991416960995;1.9565403503929295
83;60;65535;128;Windows;10;0;853;1.6197637765371615;1.6639371075624814
83;60;65535;128;Android;23;N/A;646;1.226690972617827;1.260144632456463
83;60;65535;128;Windows;6;2;627;1.1906118263643615;1.223081555031273
84;64;16384;64;OpenBSD;N/A;N/A;2809;78.44177604021223;5.479483394071525
84;64;16384;64;Linux;N/A;N/A;304;8.489248813180676;0.5930092388030415
84;64;16384;64;Mac OS X;10;11;224;6.255235967606813;0.4369541759601358
84;64;16384;64;Mac OS X;10;10;48;1.3404077073443172;0.09363303770574338
84;64;16384;64;NetBSD;N/A;N/A;36;1.005305780508238;0.07022477827930754
85;64;29200;64;Ubuntu;N/A;N/A;7050;82.01489064681246;13.752352413031058
85;64;29200;64;Linux;N/A;N/A;1546;17.98510935318753;3.0157640894391515
86;64;30720;64;Windows;98;N/A;256;100.0;0.499376201097298
87;64;64240;128;Symbian;N/A;N/A;612;61.016949152542374;1.193821230748228
87;64;64240;128;Symbian;9;2;237;23.629112662013956;0.462313123672108
87;64;64240;128;Symbian;9;4;154;15.353938185443669;0.3004059959725934
88;64;65535;64;Mac OS X;10;12;10030597;26.57369570526285;19566.568064835763
88;64;65535;64;Mac OS X;10;11;5993572;15.878552245253566;11691.590688918495
88;64;65535;64;iOS;10;3;3914594;10.370791465916508;7636.152658430767
88;64;65535;64;iOS;10;2;3481127;9.222423112938797;6790.5936593641945
88;64;65535;64;Mac OS X;10;10;3335886;8.837641415705015;6507.273742084614
88;64;65535;64;iOS;N/A;N/A;1873053;4.96221116867019;3653.742545288662
88;64;65535;64;Darwin;16;5;1386660;3.6736278894127423;2704.941418021794
88;64;65535;64;iOS;9;3;987542;2.616259092471434;1926.386610875109
88;64;65535;64;Darwin;16;3;765482;2.027963613317933;1493.2167701889136
88;64;65535;64;Mac OS X;10;9;634764;1.6816571716175486;1238.2266988801769
88;64;65535;64;Mac OS X;10;6;623576;1.6520172102522899;1216.4023983415966
88;64;65535;64;iOS;10;1;552119;1.4627087798556777;1077.0120655220278
88;64;65535;64;iOS;5;0;464782;1.2313300431951837;906.6448027281422
88;64;65535;64;iOS;10;0;428088;1.1341179639730878;835.0662467786724
88;64;65535;64;Darwin;15;6;347227;0.9198958585068571;677.33164132192
88;64;65535;64;BlackBerry;10;3;258841;0.6857380443104176;504.91810651650667
88;64;65535;64;Darwin;16;4;222268;0.5888465259861765;433.5755838495869
88;64;65535;64;iOS;9;2;187502;0.496742227020804;365.75795491463117
88;64;65535;64;Mac OS X;10;7;172310;0.4564946141265412;336.12309848076336
88;64;65535;64;Android;2;3;171245;0.45367314837269773;334.04561545666724
88;64;65535;64;iOS;7;1;140173;0.3713552292145532;273.43382904848266
89;64;65535;128;Windows;5;1;111507;73.4197634912692;217.5153986552985
89;64;65535;128;Mac OS X;10;10;9001;5.926545339619163;17.55814525811242
89;64;65535;128;iOS;N/A;N/A;8955;5.896257473201823;17.46841359697775
89;64;65535;128;iOS;10;2;6062;3.9914140483025626;11.825072386921175
89;64;65535;128;Mac OS X;10;12;5069;3.337591192815191;9.888038919383607
89;64;65535;128;Windows;N/A;N/A;2426;1.5973557375753904;4.732369780711114
89;64;65535;128;iOS;10;3;2038;1.34188416866391;3.975502725923021
90;68;65535;64;Bada;1;2;620;91.04258443465491;1.2094267370325187
90;68;65535;64;Bada;1;0;61;8.95741556534508;0.11899198541771555
